iter	Passed	Remaining
399	26152	39228
400	26170	39091
401	26213	38993
402	26268	38914
403	26304	38805
404	26364	38733
405	26385	38603
406	26482	38585
407	26611	38612
408	26728	38622
409	26771	38525
410	26844	38470
411	26873	38354
412	26974	38339
413	27012	38234
414	27043	38121
415	27145	38108
416	27172	37989
417	27220	37900
418	27244	37777
419	27266	37653
420	27293	37536
421	27340	37447
422	27386	37357
423	27436	37272
424	27490	37193
425	27527	37090
426	27624	37069
427	27659	36965
428	27671	36830
429	27703	36722
430	27748	36633
431	27794	36544
432	27833	36447
433	27857	36330
434	27915	36258
435	27982	36197
436	28020	36100
437	28076	36025
438	28126	35943
439	28149	35827
440	28207	35755
441	28270	35689
442	28297	35579
443	28323	35467
444	28367	35379
445	28397	35273
446	28455	35202
447	28476	35087
448	28529	35010
449	28593	34947
450	28624	34844
451	28669	34758
452	28723	34684
453	28788	34622
454	28865	34575
455	28923	34505
456	28982	34436
457	29023	34347
458	29046	34235
459	29070	34126
460	29103	34028
461	29168	33966
462	29215	33884
463	29280	33824
464	29333	33749
465	29390	33678
466	29497	33665
467	29738	33805
468	29967	33929
469	30075	33915
470	30260	33986
471	30459	34073
472	30530	34015
473	30568	33922
474	30619	33842
475	30685	33779
476	30717	33679
477	30741	33571
478	30768	33466
479	30827	33396
480	30900	33341
481	30935	33246
482	30998	33180
483	31059	33113
484	31110	33035
485	31165	32961
486	31227	32894
487	31345	32886
488	31426	32840
489	31486	32771
490	31570	32727
491	31640	32669
492	31745	32647
493	31897	32672
494	32027	32674
495	32093	32611
496	32185	32574
497	32321	32580
498	32429	32559
499	32540	32540
500	32621	32491
501	32705	32445
502	32835	32444
503	32918	32396
504	33018	32364
505	33104	32319
506	33179	32263
507	33310	32261
508	33426	32244
509	33627	32309
510	33707	32255
511	33775	32192
512	33870	32154
513	33943	32094
514	34022	32040
515	34118	32002
516	34200	31951
517	34256	31876
518	34360	31844
519	34443	31793
520	34536	31752
521	34623	31705
522	34739	31683
523	34803	31615
524	34862	31542
525	34961	31505
526	35086	31491
527	35169	31439
528	35251	31386
529	35335	31334
530	35414	31279
531	35520	31247
532	35569	31165
533	35625	31088
534	35815	31129
535	35931	31105
536	36039	31073
537	36167	31058
538	36270	31021
539	36383	30993
540	36465	30938
541	36574	30906
542	36681	30871
543	36810	30855
544	36920	30823
545	37009	30773
546	37074	30703
547	37142	30635
548	37212	30569
549	37274	30497
550	37382	30462
551	37458	30400
552	37531	30337
553	37598	30268
554	37695	30224
555	37763	30156
556	37858	30110
557	37992	30094
558	38110	30065
559	38200	30014
560	38296	29968
561	38404	29931
562	38527	29904
563	38605	29844
564	38707	29801
565	38752	29715
566	38815	29642
567	38873	29566
568	38924	29484
569	39022	29438
570	39077	29359
571	39130	29279
572	39191	29205
573	39243	29124
574	39277	29031
575	39339	28957
576	39400	28884
577	39454	28805
578	39520	28736
579	39592	28670
580	39662	28603
581	39723	28529
582	39786	28458
583	39847	28384
584	39907	28310
585	39991	28253
586	40086	28204
587	40173	28148
588	40230	28072
589	40293	28000
590	40353	27926
591	40412	27851
592	40478	27781
593	40543	27711
594	40607	27640
595	40670	27568
596	40745	27505
597	40824	27443
598	40877	27365
599	40937	27291
600	40989	27212
601	41041	27133
602	41149	27091
603	41206	27016
604	41260	26938
605	41316	26862
606	41405	26807
607	41485	26747
608	41619	26721
609	41689	26653
610	41786	26603
611	41862	26540
612	41935	26475
613	42000	26404
614	42070	26336
615	42161	26282
616	42275	26242
617	42401	26209
618	42473	26142
619	42542	26074
620	42610	26005
621	42699	25949
622	42810	25905
623	42875	25835
624	43073	25844
625	43148	25778
626	43272	25742
627	43373	25692
628	43440	25622
629	43511	25554
630	43596	25494
631	43680	25434
632	43801	25395
633	43928	25359
634	44063	25327
635	44131	25257
636	44205	25191
637	44293	25132
638	44388	25076
639	44446	25001
640	44503	24924
641	44598	24869
642	44662	24796
643	44755	24740
644	44873	24697
645	44989	24653
646	45076	24593
647	45151	24526
648	45219	24456
649	45272	24377
650	45382	24329
651	45480	24274
652	45536	24197
653	45591	24120
654	45647	24043
655	45716	23973
656	45788	23904
657	45846	23828
658	45916	23759
659	45999	23696
660	46084	23635
661	46175	23576
662	46253	23510
663	46317	23437
664	46449	23399
665	46506	23322
666	46561	23245
667	46619	23170
668	46702	23106
669	46769	23035
670	46825	22959
671	46883	22883
672	46946	22810
673	47070	22766
674	47168	22710
675	47246	22644
676	47298	22566
677	47356	22490
678	47453	22433
679	47535	22369
680	47629	22311
681	47685	22234
682	47740	22157
683	47808	22086
684	47886	22020
685	47974	21959
686	48039	21886
687	48115	21820
688	48215	21763
689	48316	21707
690	48384	21636
691	48455	21566
692	48547	21506
693	48604	21430
694	48668	21358
695	48732	21285
696	48789	21209
697	48842	21132
698	48894	21054
699	48975	20989
700	49094	20940
701	49212	20890
702	49296	20826
703	49403	20772
704	49488	20707
705	49620	20663
706	49702	20597
707	49786	20533
708	49906	20483
709	49996	20420
710	50156	20386
711	50248	20325
712	50316	20253
713	50403	20189
714	50470	20117
715	50523	20040
716	50577	19962
717	50687	19907
718	50749	19834
719	50808	19758
720	50860	19681
721	50924	19607
722	51004	19541
723	51088	19475
724	51173	19410
